,Period,Short Descriptions,Temperatures
0,Overnight,Rain andBreezy,Low: 35 °F
1,Saturday,Showers andBreezy,High: 41 °F
2,SaturdayNight,Showers andBreezy thenChanceShowers,Low: 42 °F
3,Sunday,Rain/SnowLikely thenRain/Snow,High: 40 °F
4,SundayNight,Blustery.Rain/SnowLikely thenSlight ChanceSnow Showers,Low: 30 °F
5,Monday,Partly Sunny,High: 36 °F
6,MondayNight,Partly Cloudy,Low: 28 °F
7,Tuesday,Partly Sunny,High: 40 °F
8,TuesdayNight,Partly Cloudy,Low: 30 °F
